,pod_name,category,description,cover_image
7239,The Alien Adventures of Finn Caspian: Science Fiction for Kids,Kinds & Family,"The Alien Adventures of Finn Caspian is a serialized science-fiction story for kids (start with Episode 1), told in 15-20 minute episodes for parents to put on when driving around town, or to marathon on road trips, or to bond over before bed. The story centers on Finn Caspian, an 8-year-old boy aboard The Famous Marlowe 280 Interplanetary Exploratory Space Station. He and his friends Abigail, Elias and Vale are Explorers Troop 301, taking off from the Marlowe to explore uncharted planets, help the occasional alien, and solve a mystery that threatens to destroy the Marlowe. When pressed, we describe it as a ""mystery gang"" story, sort of like Scooby-Doo in space.

The story is written and performed by Jonathan Messinger, author of Hiding Out, former web editor of Time Out Chicago Kids, and father of two boys. His son Griffin, 7, serves as editor of the story, appearing in episodes to critique, make predictions and express skepticism that his father knows what he's talking about, which also happens to be the way the rest of their relationship works.",http://imgur.com/y0tvhvbaRoMS82Kwa1qg
10355,Oprah’s Master Class: The Podcast,Society & Culture,"Hear the greatest life lessons of some of the most respected and renowned actors, musicians, public figures and athletes. Handpicked by Oprah, these luminaries reveal their lives with candor and insight — in their own words. Listen as Jay -Z, Justin Timberlake, Ellen Degeneres, Shaquille O’Neal, Reba McEntire, Dwayne Johnson and Jane Fonda, (just to name a few), share what they’ve learned about life and their own insights into their personal stories.",http://imgur.com/3j19ANyXxCq2u59OwijF
6878,"Just For Women: Dating, Relationships and Sex with Alissa Kriteman",Self-Help,"Are you ready to find out what you can do to have the deep, beautifully fulfilling love you want in your life? Are you ready to find out how to live the outrageously fun and full life and you know you were meant to be living? Have you been searching for more intimacy in your relationships but are at a loss as to how to create it?

Well, tune in and listen as host Alissa Kriteman of ABC’s ""How to Get the Guy"" and author of ""Alissa’s Four Cornerstones for Living Your Dreams"" explores these topics with today’s top love, sex and relationship experts!  From ancient Buddhist teachings to modern day sexilogical bodyworkers, listeners can boldly adventure into the myriad of alternatives and choices now available to women.

On each show, Alissa offers keen insight from her vast background as an author, coach, and workshop leader. Open yourself to provocative, cutting edge, experimental ideas on loving yourself more, healing relationships, understanding men, attracting what you desire, the new art of seduction and the evolution of love that will radically shift the way you date and relate. Brought to you by Personal Life Media, Inc.",http://imgur.com/cOonXWCwAUGxWLNecRVU
1647,Hacking Your Leadership,Management & Marketing,"No role plays; just real. Chris & Lorenzo share four decades of combined experience to help you become a more effective leader. Keeping employees engaged and doing their best work today requires a leadership language focused on soft skills like empathy, emotional intelligence, and a desire to make personal connections. Many leaders want to succeed in this brave new world but employees continue to report poor engagement and they continue to leave companies about every three years. Listen every Monday and Thursday, and become a leader who people never want to leave.
#HackingYourLeadership #StarkEngagementConsulting #LifeOfLozo #leadership",http://imgur.com/R06tEtU37UePfqfWe7vu
6442,iProcrastinate Podcast,Self-Help,"Dr. Timothy A. Pychyl, associate professor of psychology and director of the Procrastination Research Group (Carleton University, Ottawa, Canada), provides a series of short talks, interviews and question/answer podcasts that explain why we procrastinate and what we can do about it.  An award winning educator, Dr. Pychyl challenges his listeners to explore their daily choices to act or postpone acting on their intentions. Do we head to the gym as intended, or slouch back on the couch thinking ""I'll feel more like a workout tomorrow""? Do we tackle the task now, or do we avoid it arguing to ourselves that ""I work better under pressure""? From losing 10 pounds to changing personal habits, Pychyl, a personality psychologist, focuses on the breakdown of intentional action - a problem commonly called procrastination. This series expands on three main themes: 1) irrational delay that sabotages personal productivity, 2) personality attributes that contribute to self-defeating behaviours, and 3) situational factors that undermine our ability to take or sustain action.  Drawing on the research literature, topics include: self-handicapping, anxiety, self-regulation, perfectionism, will power, coping styles, effects on health and well-being, impulsivity, temporal discounting, motivation and even purpose in life. Of course, Dr. Pychyl doesnâ€™t leave his listeners with the problem itself. Once these key factors have been established, he turns his attention to techniques that facilitate self change, habit-breaking implementation intentions, as well as strategies that help each of us to â€œcarpe diem!â€?  The emphasis is on self-understanding, practical advice and tools for change. We guarantee that you will find this an engaging series of podcasts that will provide you with tactics to increase personal productivity and well-being.",http://imgur.com/czSg0q2yZLZwlTotko8Z
6909,MindSet by Design: NLP | Self Improvement | Health | Wealth | Happiness. World-Class Mind-Hacks for Peak Performance,Self-Help,"Andy Murphy uses his 12 years of experience working with VIP clients such as Saudi Arabian Royalty, TV producers & world-champions to give you a competitive edge in your business and life. Join him while he uses his wisdom to interview world-class entrepreneurs, internet marketers, martial artists, Ironmen, Forex experts, and copywriters, from around the world.",http://imgur.com/TBtr1w6kcBCLDftWxge8
12444,Classic Movie Musts,TV & Film,"Classic Movie Musts is a weekly movie podcast that aims to provide artistic and historical context to classic films.  Every movie we discuss on this show is easily accessible via a streaming platform, which will be highlighted each week.  Nothing will be hard to find or difficult to access.  Classic Movie Musts is hosted by Max Baril.  New episodes release every Friday.

Follow @moviemustspod / @maxbarilpods
classicmoviemusts.com / patreon.com/classicmoviemusts",http://imgur.com/Srghzy0YBGojLUZaJygD
6446,Distraction with Dr. Ned Hallowell,Self-Help,"Struggling with distractions in this amped up world? Renowned ADHD expert Dr. Ned Hallowell guides us through stories, guests, tips, calls, and lots of surprises too. If you’re pulled and prodded all day from many directions or tied to your smartphone and apps, this insightful and entertaining journey will help you regain control of your life in a fun and novel way.  Give it a listen and.. wait, did you see that bird?",http://imgur.com/0rlZzYsBtZChO6vvSc3S
2762,Never Not Funny: The Jimmy Pardo Podcast,Comedy,"Never Not Funny is an award-winning weekly podcast hosted by comedian and TV personality Jimmy Pardo and producer Matt Belknap. Since 2006, the show has offered comedy fans the unique opportunity to eavesdrop on freewheeling conversations between Pardo and his sometimes famous, always funny friends. Unscripted. Unedited. Unstoppable. It's Never Not Funny.Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)",http://imgur.com/OHx0BFTDWS7DVlgitu5G
4250,! iPhone Ringtones,Video Games,"Get FREE RINGTONES when you subscribe! The World's most popular comedy text alerts, ringtones & alarms are now videos.  Enjoy these funny animations from Hahaas Comedy Ringtones!  Search HAHAAS in iTunes for thousands more.  Visit Hahaas.com for more info.",http://imgur.com/8cJ4PcC6VgaYikBN0O4O
4375,Cane and Rinse,Video Games,"Cane and Rinse is a weekly podcast made by passionate videogaming enthusiasts aimed at like-minded listeners. Our ambition is to provide in-depth discussion with help from knowledgeable, articulate guests from the gaming community, the world of games development and beyond.",http://imgur.com/A5sKpz3p7uwXqsOr2uKl
5276,The Lost Pages of Norse Myth,Video Games,"ESRB Rating: RATED M FOR MATURE. May contain content suitable for persons ages 17 and older. Visit www.esrb.org for rating information. God of War’s series: The Lost Pages of Norse Myth is rooted in an ancient tome called the Prose Edda. It is whispered that over the centuries, some stories of these Norse gods went missing. Join host Jason Weiser for a look at these lost pages, and the saga of a vengeful god from a distant land journeying with his young son, Atreus, to fulfill a deeply personal quest.",http://imgur.com/hFL6JsvkJqVqFdGrAMed
6319,Motion Traxx: Upbeat Workout Music for Running and General Exercise,Fitness & Nutrition,"When it comes to fitness, nothing moves you like music.  Produced by Deekron ‘The Fitness DJ’(TM), Motion Traxx features energizing, steady-beat workout music.  Perfect for setting the pace of your runs.  Also great for other forms of exercise such as cycling, aerobics, general workouts, or just ‘getting down’ to some fun, non-stop dance mixes.  Free.  For more info and our newsletter, please visit www.MotionTraxx.com",http://imgur.com/7LrrnUKOCJcWxoUoWtx4
12500,The Empire Film Podcast,TV & Film,"The Empire Film Podcast is the official podcast of Empire, the world's biggest and best movie magazine. Check back each week for an assortment of irreverent, film-related chat, as well as interviews with Hollywood's best and brightest.",http://imgur.com/q13IBlAItwwvZFXoA0Wt
6942,About Progress,Self-Help,"Interviews with recovering perfectionists, paralyzed dreamers, and balanced achievers + meaningful discussions on self-improvement.   Learn how people work on themselves, aspire to dreams, get out of ruts, achieve goals, and overcome obstacles all while keeping their self-worth in tact. It's about progress, not perfection!",http://imgur.com/svQiWnu3Nky7C6wIfAtV
2314,The Growth Show,Management & Marketing,"The Turnaround is a series of stories about the companies who almost had to shutter their doors, but managed to launch an epic turnaround. Because who doesn’t love a good comeback story?",http://imgur.com/NfmwMMc91XyGjX5Jp6VW
7345,Wire Talk with Karen Stubbs,Kinds & Family,"Wire Talk with Karen Stubbs is a podcast designed to encourage and equip moms through the precious, busy, challenging and life-changing journey of motherhood. Karen Stubbs is a wife, mother of four and founder the Birds on a Wire—a ministry for moms. What started in 2011 as a small group of women from Andy Stanley’s North Point Community Church meeting in Karen’s basement, quickly turned into a nationwide ministry. Hosted by Sunny Williams, Wire Talk with Karen Stubbs is a resource offering Godly, practical advice on the topics every mother has questions about: mommy guilt, our children’s faith, potty-training, divorce, our teenagers dating, the toddler years and more!",http://imgur.com/kLICWSKh452IhDyiPzNP
7760,NBC Nightly News,News & Politics,"Listen to ""NBC Nightly News,"" providing reports and analysis of the day's most newsworthy national and international events. This audio podcast, updated each weekday evening by NBCNews.com, brings you the day's show in its entirety. For more from ""Nightly News"", visit http://www.nbcnews.com/nightly-news",http://imgur.com/g6ISFA5q7nZcmfMcCyDz
6804,Shredded by Science Radio,Fitness & Nutrition,"SBS Radio - Fitness that takes itself (not so) seriously. We interview awesome people, geek out over science, and tackle real-world fitness issues with our... ""unique"" sense of humour. Warning - please do not listen whilst operating heavy machinery or if you have anything electronic in front of you that could be damaged by you laugh-snorting your protein shake over it.",http://imgur.com/TmgbNVuFGV2ivHub760N
7804,Gaslit Nation with Andrea Chalupa and Sarah Kendzior,News & Politics,"Sarah Kendzior and Andrea Chalupa are experts on authoritarian states who warned America about election hacking years before 2016. Here, they take a deep dive on the news, skipping outrage to deliver analysis, history, context, and sharp insight on global affairs.",http://imgur.com/qHjNrccUVpps9FOEc9vw
2697,WTF with Marc Maron Podcast,Comedy,"Comedian Marc Maron is tackling the most complex philosophical question of our day - WTF? He'll get to the bottom of it with help from comedian friends, celebrity guests and the voices in his own head.",http://imgur.com/EK1ztrQL82ORiqB46COl
12525,Cast of Thrones - The Game of Thrones Podcast,TV & Film,"A delightful romp through Westeros. We cover the show, the books, and the ships.",http://imgur.com/eVyEzAwECBhH8DltJObb
5308,X-Stream,Video Games,Podcast where we dig deep and and analyze your favourite video games!,http://imgur.com/3lTxyv4bumSdK4JSOKIF
6786,Zorba Paster On Your Health,Fitness & Nutrition,"Each week Dr. Zorba Paster and co-host Tom Clark provide listeners with health and fitness tips to live a full and healthy life. The down-to-earth, personal style makes this call-in show as entertaining as it is informative. "" Zorba Paster On Your Health "" can be heard Saturdays from 8 to 9 a.m. and again from 1 to 2 p.m. on the Ideas Network.",http://imgur.com/b6NxR2f0KaR5d1WUTZF9
7865,The Takeaway,News & Politics,"A fresh alternative in daily news featuring critical conversations, live reports from the field, and listener participation. The Takeaway provides a breadth and depth of world, national, and regional news coverage that is unprecedented in public media.",http://imgur.com/9jclUPebXt3UOyAUjz6m
5264,Infendo Radio | Nintendo Podcast,Video Games,"The best Nintendo podcast on the English speaking Internet. We discuss the Nintendo Switch, Pokémon Go, Mario, and everything in between!",http://imgur.com/bGon7jfemtowV4VnOJ5W
12546,Meet the Filmmaker,TV & Film,"iTunes and the Apple Store bring you insights from the makers of today's biggest films. Subscribe to the podcast to hear behind-the-scenes stories from the onscreen stars as well as filmmaking wisdom from a diverse selection of writers, directors, and producers.",http://imgur.com/Ye0sInfjUB1jpfSMO8Y3
6387,The Purpose Show,Self-Help,"Mom life: we’re surrounded with the message that it’s the tired life, the no-time-for-myself life, the HARD life. 

And while it is hard and full of lots of servitude, the idea that motherhood means a joy-less life is something I’m passionate about putting a stop to. 

I’m on a mission to help you stop counting down the minutes till bedtime (at least most days). 

I want you to stop cleaning up after your kids’ childhood, and start being present for it - start enjoying it. 

I believe in John 10:10, that we are called to abundant life, and I know mothers are NOT excluded from that promise. 

Join me in conversations about simplicity, minimalism, and lots of other good stuff that leads to a life of less for the sake of enjoying more in motherhood. 

I’m Allie Casazza, and this is The Purpose Show.",http://imgur.com/cFYFCBnjQ4ENs9NCqnZF
7630,Meet the Composer,Music,"Meet the Composer is a Peabody Award-winning podcast from WQXR’s Q2 Music that takes listeners into the minds and creative processes of the composers making some of the most innovative, compelling and breathtakingly beautiful music today. At the convergence of interview, music and sound design, Meet the Composer aims to show the listener who the composer is as a person, as a thinker and as an artist.",http://imgur.com/y0sFjPXRip0UHOfZbClG
10421,Culture Gabfest,Society & Culture,"New York Times critic Dwight Garner says “The Slate Culture Gabfest is one of the highlights of my week.” The award-winning Culturefest features Slate culture critics Stephen Metcalf, Dana Stevens, and Julia Turner debating the week in culture, from highbrow to pop.",http://imgur.com/ars0OYV1IsIeh1N7vC9U
12643,Popstuff,TV & Film,"Want to know more about the early days of the video game industry? Wondering how Hello Kitty became so popular? Join Tracy and Holly as they explore the science behind pop culture in PopStuff, a podcast by HowStuffWorks.com.",http://imgur.com/ZCNAWLXIEHq2JTJzJabc
4358,Watch Out for Fireballs!,Video Games,"Watch Out for Fireballs! is a game club podcast, focused on retro and non-current games. Every week, we play a game in its entirety, then discuss its merits and flaws at length. Most episodes begin with a short sketch, and we're pretty liberal about keeping tangents in. But it ultimately comes down to: Why do we like (or dislike?) this game.",http://imgur.com/G4t1jkbK85gPFfcA3Qrr
5326,The Nerd³ Podcats,Video Games,"The Nerd³ Podcats! A weekly podcast featuring Nerdcubed (Dan), ManyATrueNerd (Jon), and Mattophobia (Matt).  Episodes will be uploaded here every Thursday!",http://imgur.com/b8cApiRxOnTKcNNI7r7Q
4316,Achievement Oriented,Video Games,"Every week, The Ringer's Ben Lindbergh and Jason Concepcion delve into the virtual world, discussing the latest video game releases and trends, interviewing industry experts, and exploring fascinating subcultures.",http://imgur.com/KF5TAIR5q2v9olENWEJd
12592,The Talking Dead - A podcast dedicated to the AMC TV series The Walking Dead,TV & Film,"The Talking Dead is a podcast dedicated to the AMC TV show, The Walking Dead. Tune in for news, rumours, and any other info related to The Walking Dead.",http://imgur.com/mSqZKWPErwOygrBTIE5w
12531,Don't @ Me with Justin Simien,TV & Film,"Join me, Justin Simien, each week for unfiltered conversations with the stars, artists and creators shaping our culture. If you’ve seen my show and film,  Dear White People,  you know we’re going to get into how race, gender, and sexuality...",http://imgur.com/1bQV0AhiL5RpDzFzFmeN
7754,The Electorette Podcast,News & Politics,"The Electorette: A new podcast about politics, intersectionality and feminism. The Electorette features interviews and conversations with the women leading the resistance. They are passionate about equality, voting rights, climate change, access to healthcare & reproductive rights and all issues that make a healthy democracy.",http://imgur.com/5Us3MkLHhYSOlMvZWHmQ
2439,Boss Girl Creative Podcast | A Podcast for Female Creative Entrepreneurs,Management & Marketing,"Boss Girl Creative Podcast, hosted by Taylor Bradford, teaches the whats, hows and whys of blogging, business and being a creative entrepreneur. In a creative rut? Not sure how to grow a community around your brand? About to launch a product or service? Need social media help/advice? Then this is the podcast for you! Join Taylor and her fellow co-hosts and guests on this creative entrepreneur journey to becoming an epic Boss Girl!",http://imgur.com/Y2TOEiGBQ8sAhJJEU4Os
2780,The Cracked Podcast,Comedy,"The Cracked Podcast is facts, jokes, and more from the Internet’s leading comedy website. Every week, host Alex Schmidt brings together comedians, authors, scientists, and Cracked staffers, to celebrate the awesome truth that being alive is more interesting than people think it is. Fill your week and your brain with hilarious, mind-blowing revelations that’ll make you the most interesting person in every room you’re in.Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)",http://imgur.com/8Rf2ZRwQ3l0m7DcHQU8f
4183,CAGcast,Video Games,"Since 2005, the CAGcast has been a pretty silly podcast about video games and the topics that affect gamers. Hosts CheapyD, Wombat, and Shipwreck talk industry news, review games, supply game shopping tips and generally share too much of their personal lives. Giving new meaning to ""Talk is Cheap"", the CAGcast is the official Podcast of the video game shopping community, CheapAssGamer.com.",http://imgur.com/dyfjtwFj994ix4zyUnld
2442,Positive University Podcast,Management & Marketing,Positive inspiration and encouragement to help you overcome your challenges and make a greater impact! Featuring interviews and resources from bestselling author Jon Gordon and our Positive U Expert Guests and Faculty.,http://imgur.com/279nZH9eNbz8zer2UTQJ
5263,Daily Fortnite,Video Games,"This is a daily show about Fortnite! We will have tips, tricks, strategies, guides, and stories about playing Fortnite. The goal is to build a positive community of Fortnite players so we can all enhance our enjoyment of Fortnite together. Use the Anchor app to call the show and leave a message and you might be featured on the show. Remember to rate, review, subscribe, and like to help grow the community!

Twitch - www.twitch.tv/mmmikedaddy 
Twitter - twitter.com/MMMThatsGoodSTF 
email - mmmthatsgoodstuffgaming@gmail.com 
PS4 + Epic - MagnificantMikie
Discord Server - discord.gg/qugJAVp  

Become a supporter of this podcast:

https://anchor.fm/daily-fortnite/support",http://imgur.com/Sl6uyGjS1uWmG3TNsOXN
5219,Pokemon Go Radio,Video Games,Where we talk Pokemon Go,http://imgur.com/1jzRvpgIC5b2dnfGemYk
7473,Dissect,Music,"Learn more about the albums you love with Dissect, a serialized music podcast from Cole Cuchna & Spotify Studios. Each season we pick one album, forensically dissecting one song per episode. Line-by-line, note-by-note, we learn more about the human experience through some of the greatest music ever made.

S3: Blonde by Frank Ocean
S2: MBDTF by Kanye West
S1: To Pimp a Butterfly by Kendrick Lamar",http://imgur.com/BHERwrX8xhTXUuurUfYE
4337,Podtoid: Destructoid's Video Game Podcast,Video Games,The official podcast site of Destructoid: Video game news and community,http://imgur.com/1GIzE2PZld6a5Rtg07Rq
7209,The Longest Shortest Time,Kinds & Family,The parenting show for for everyone. Created by Hillary Frank; hosted by Andrea Silenzi. A Stitcher Production.,http://imgur.com/KDmLXZloUPKidIgpxD0W
6752,Healthy Lifestyle Show,Fitness & Nutrition,"Healthy Lifestyle Show is about living a healthier, happier and more fulfilling life. Our podcast covers various topics including nutrition, fitness, yoga, and meditation. Learn about the amazing power of foods and natural herbs for specific health disorders. Using science we discuss daily challenges and share our simple to follow lifestyle health tips. Find more about us at www.HealthyLifestylePodcast.com",http://imgur.com/m3YMaFjktK10yioEmFL5
2696,Wait Wait...Don't Tell Me!,Comedy,NPR's weekly current events quiz. Have a laugh and test your news knowledge while figuring out what's real and what we've made up.,http://imgur.com/E2vs0sqbshX0vxu8FJgx
6867,The Simple Sophisticate - Intelligent Living Paired with Signature Style,Self-Help,"The simple sophisticate is someone who prefers quality over quantity, sensible living over mindless consumption, personal style instead of trendy fashions, has an insatiable curiosity for life’s endless questions and a desire to live a truly fulfilling life rather than being led around by the nose. Inspired by her lifestyle blog The Simply Luxurious Life, Shannon Ables (the original Simple Sophisticate) shares with listeners tips on how to live a refined life on an everyday income. From achieving your goals, preparing a memorable meal, creating a capsule wardrobe, traveling the world (Francophiles tune in as Paris is a favorite destination), and living life to the fullest without breaking the bank, living well is really quite simple.",http://imgur.com/eBOU3UqMcEFRMAcLCHFo
6780,Nutrition Facts with Dr. Greger,Fitness & Nutrition,"Have you ever wondered if there’s a natural way to lower your high blood pressure, guard against Alzheimers, lose weight, and feel better? Well as it turns out there is. Michael Greger, M.D. FACLM, founder of NutritionFacts.org, and author of the instant New York Times bestseller “How Not to Die” celebrates evidence-based nutrition to add years to our life and life to our years.",http://imgur.com/fk51uz6fJVDq3pXXhxPm
6931,Autastic: A Comedians Guide to Autism,Self-Help,Graham Kay and Kirk Smith are two comedians living in Los Angeles. Kirk has a teenaged son with Autism and Graham has an autistic adult brother. Together they talk about the lighter side of living with and coping with autism.,http://imgur.com/oRkAmLpWiSDgjYZQlXbd
2850,Insanely Chill w/ Cody Ko,Comedy,"Comedian and YouTuber Cody Ko talks to himself about PRESSING ISSUES.

itunes: https://itunes.apple.com/us/podcast/f*ckin-chillin-w-cody-ko/id1189852741?mt=2

google play: https://play.google.com/music/listen#/ps/Izy5mqvdq6ue3ciksluiwxaotqm",http://imgur.com/FlWDt6xBd4Ag0NsytRYv
